,Equivalent Tag,f_reference,USAS Tags
412,E4.1+,9,Happy 
413,I1.1-,9,Money: Lack
414,O4.6-,9,Temperature: Cold     
415,A6.2+,8,Comparing: Usual 
416,O4.6+,8,Temperature: Hot / on fire     
417,S9-,8,Non-religious
418,X5.2,8,Interest/boredom/excited/energetic
419,O4.2+,7,Judgement of appearance: Beautiful
420,S8,7,Helping/hindering
421,X6-,7,Undecided
422,E4.1-,6,Sad 
423,G2.2+,6,Ethical
424,S5,6,Groups and affiliation
425,A11.2,5,Noticeability
426,E4.1-,5,Sad 
427,I1.1+,5,Money: Affluence
428,P1-,5,Not educated
429,S1.2.5-,5,Weak
430,X2.1+,5,
431,A1.1.1-,4,Inaction
432,A15+,4,Safe 
433,I1.3-,4,Cheap
434,N3.3-+,4,
435,Q2.2-,4,Speech acts: Not speaking
436,S1.2.4,4,Politeness
437,S3.1-,4,No personal relationship 
438,S5+,4,Belonging to a group 
439,X5.2+,4,Interested/excited/energetic
440,A1.7+,3,Constraint
441,A4.1+,3,
442,A4.2-,3,General 
443,A5.3+,3,Evaluation: Accurate
444,B2+,3,Healthy
445,F2+,3,Excessive drinking
446,N6+,3,Frequent
447,O1.3-,3,Gasless
448,S3.2-,3,Relationship: Asexual
449,T4+,3,Time: Early 
450,X7,3,Wanting; planning; choosing
451,A1.5,2,Use
452,A13.7+,2,
453,A5.1-+,2,
454,A5.4+,2,Evaluation: Authentic
455,A6.2-,2,Comparing: Unusual 
456,B4-,2,Dirty 
457,E3+,2,Calm 
458,E3-,2,Violent/Angry
459,F3-,2,Non-smoking / no use of drugs
460,N3.3+,2,Distance: Far
461,N3.6-,2,
462,N3.8-+,2,
463,N5+,2,Quantities: many/much
464,O4.1+,2,
465,O4.2+,2,Judgement of appearance: Beautiful
466,O4.3-,2,
467,O4.6-,2,Temperature: Cold     
468,S1.2.3+,2,Selfish
469,S1.2.5+,2,Tough/strong 
470,X3+,2,
471,X3.2-,2,Sound: Quiet
472,A1.1.2-,1,Fixing and mending
473,A1.2.6-,1,
474,A1.8,1,
475,A12,1,Easy/difficult
476,A12+,1,Easy 
477,A12+,1,Easy 
478,A13.2+,1,
479,A13.4+,1,
480,A15+,1,Safe 
481,A4.1-,1,Unclassified
482,A4.2+,1,Detailed
483,A5.2+,1,Evaluation: True 
484,A6.2+,1,Comparing: Usual 
485,A7+,1,Likely
486,B2+,1,Healthy
487,E2-,1,Dislike
488,G1.2-,1,Non-political
489,H5-,1,Unfurnished
490,I1.1-,1,Money: Lack
491,M4-,1,Non-swimming
492,M5+,1,
493,N3.1-,1,
494,N3.3+,1,Distance: Far
495,N3.3-+,1,
496,N3.4-,1,Volume: Compressed
497,N3.7+,1,Long/ tall and wide
498,N5.1+,1,Entire; maximum
499,N5.1+,1,Entire; maximum
500,O4.2-,1,Judgement of appearance: Ugly
501,O4.4+,1,
502,S1.2.2-,1,Generous
503,S4T1.1.1,1,
504,T1.1.2-,1,Time: Asynchronous
505,T1.3+,1,Time period: long
506,T23-,1,
507,T4-+,1,
508,X5.1,1,Attention
509,X8+,1,Trying hard
510,X8-,1,Not trying
