,USAS Tags,f_Reference,Equivalent Tag
254,A7+,1076,Likely
255,N3.6,1076,Measurement: Area
256,I1.3+,1052,Expensive
257,S1.2.1-,1043,Formal/Unfriendly
258,S1.2.6-,1029,Foolish
259,X3.4+,1024,Seen
260,E2+,1023,Like
261,N3.5,1012,Measurement: Weight
262,A1.3+,1004,Cautious
263,K5.2,1000,Games
264,B2+,984,Healthy
265,A1.4+,977,Lucky
266,I3.2+,977,Professional
267,S7.1,974,Power/ organizing
268,O1.2,954,Substances and materials: Liquid
269,K6,943,Children’s games and toys
270,N5+,942,Quantities: many/much
271,A11.1+,893,Important
272,N3.3+,872,Distance: Far
273,N3.7+,835,Long/ tall and wide
274,S7.1+,821,In power 
275,N5.2+,815,Exceed; waste
276,E1,814,Emotional Actions/ States And Processes General
277,N3.5+,778,Weight: Heavy
278,I1.1-,735,Money: Lack
279,X3.1+,724,Tasty
280,S1.1.4+,723,Deserving
281,O1.2-,692,Dry
282,S1.2.1+,680,Informal/Friendly
283,S1.2.3+,680,Selfish
284,A1.8-,668,Exclusion
285,S6-,640,No obligation or necessity
286,X5.2-,638,Uninterested/bored/unenergetic
287,A13,631,Degree
288,T2+,618,Time: Beginning 
289,X3.5,589,Sensory: Smell
290,S1.2.5-,582,Weak
291,O4.6-,560,Temperature: Cold     
292,A15+,529,Safe 
293,A13.7,523,Degree: Minimizers
294,T4-,465,Time: Late
295,N3.7-,461,Short and narrow
296,E5+,450,Bravery 
297,X9.1-,447,Inability/unintelligence
298,K3,427,Recorded sound
299,N3.7-,423,Short and narrow
300,A11.1-,379,Unimportant
301,T1.3+,378,Time period: long
302,A9,377,Getting and giving; possession
303,X3.4-,354,Unseen
304,S1.1.3-,350,Non-participating
305,G2.2,340,General ethics
306,S7.3,322,Competition
307,A12+,321,Easy 
308,T1.3+,302,Time period: long
309,S1.2,299,Personality traits
310,X1,277,Psychological Actions/ States And Processes
311,S1.1.3+,264,Participating
312,A5.1-,263,Evaluation: Bad
313,G2.1+,257,Lawful
314,E2+,238,Like
315,B5-,221,Without clothes 
316,X3.2+,216,Sound: Loud
317,O4.6,201,Temperature     
318,O4.2+,196,Judgement of appearance: Beautiful
319,A3,192,Being
320,O1.3,183,Substances and materials: Gas
321,N3.3-,154,Distance: Near
322,I1.2-,151,Debt-free
323,X2.3+,132,Learning
324,I1.1+,110,Money: Affluence
325,N3.4-,98,Volume: Compressed
326,S7.2-,97,No respect
327,A1.2-,91,Unsuitable
328,X9.1,89,Ability and intelligence
329,A1.9-,81,Unavoidable
330,S1.2.5+,79,Tough/strong 
331,A1.5.2-,75,Useless
332,G1.1-,75,Non-governmental
333,T1.3-,75,Time period: short
334,S1.2.4-,73,Impolite
335,A1.6,70,Concrete/Abstract 
336,A4.2-,65,General 
337,S1.2.2+,59,Greedy
338,I1.1-,56,Money: Lack
339,T1.3+,56,Time period: long
340,S4-,54,No kin
341,Z7-,46,Unconditional
342,A1.5.2,42,Usefulness
343,N3,40,Measurement
344,X2.1-,36,Without thinking
345,A1.5.1-,28,Unused
346,N3.8+,25,Speed: Fast
347,A6,22,Comparing
348,S7.4,18,Permission
349,A2.1,17,Modify/ change
350,I1.3-,16,Cheap
351,A1.1.1-,15,Inaction
352,X2.6,15,Expect
353,W2-,14,Darkness
354,A12+,11,Easy 
355,I1.2+,11,Spending and money loss 
356,O4.6+,10,Temperature: Hot / on fire     
357,O4.6-,10,Temperature: Cold     
358,A1.2,8,Suitability
359,N3.5-,7,Weight: Light
360,S2-,5,No people
361,A11.1-,3,Unimportant
362,A6.1+,2,Comparing: Similar 
363,B2+,2,Healthy
364,E4.1-,2,Sad 
365,T4-,2,Time: Late
366,E2,1,Liking
